OBJECTID;Locatable;Excavated;Kanton;Fieldname;Municipality;Literatur;Quality;Number of mounds;NEL;EBA;MBA;LBA;HaC;HaD;ELT;EMA;HaC1;HaC2;HaD1;HaD23;LTA;Periods;HA Subperiods;Status objects;Cluster ID;PM_Raster;PM_Point;Altitude;Slope;Profile Curvature;Tangential Curvature;Positive-Negative;Vegetation;Total Viewshed;Skyline;Visibility Alps;Accessibility;Movement;Crop Suitability;Land-use_categories;Oldest Period
115;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.965641026;0.755711905;492.6986248;3.330809612;0.000127605;0.000155764;0.041666665;Mixed Forest;229.8769273;20.15384615;131.2000005;6913.941793;0.075853263;0.174023704;Grassland;
146;1;1;Fribourg;Egghölzli;Wünnewil;"Schwab 1981; Schwab 1979/80, 279-280; Schmid-Sikimi? 1996";1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0.99333334;0.75615098;632.9515483;4.947373475;0.000881675;0.000170251;-0.001344086;Mixed Forest;120.8333352;25.41666667;51.6000007;6755.523385;0.486028319;0.226983273;Forests;HAC
230;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99939394;0.756473333;783.0944047;3.500478609;0.001082975;-0.000103848;0.602639299;Mixed Forest;277.0700043;44.63636364;212.7100029;6543.795977;0.197958726;0.108187461;Forests;
99;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.990000001;0.757670588;672.2054225;10.90078054;0.00126319;0.000180037;0.281105989;Mixed Forest;210.5714297;18.5;14.28571442;6715.964445;0.011664423;0.081350036;Forests;
120;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.907692309;0.757732051;599.2724797;15.30481366;0.006941356;0.002534657;0.085607938;Mixed Forest;90.37142972;24.53846154;72.38571603;6914.543545;0.010277743;0.079788142;Forests;
135;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99952381;0.759660256;648.788705;3.168046884;0.001414087;-3.6387E-05;0.571428574;Mixed Forest;141.9000034;69.57142857;101.1000017;6699.65337;0.483624942;0.31644;Forests;
344;1;1;Waadt;Les Crêts;Les Clées;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0.935714292;0.760288462;689.1172747;3.477686493;0.002029644;0.000307532;0.2235023;Mixed Forest;202.8833351;16.21428571;113.3333346;6907.351849;0.010870691;0.032102917;No vegetation coverage;
14;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.984615386;0.761721795;514.0463069;3.954093841;0.002455353;0.001473267;0.132754338;Mixed Forest;93.67692449;16.38461538;7.21538474;6828.816239;0.351839395;0.067562971;Forests;
51;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.984102566;0.761955128;471.8789626;8.219171652;0.003531465;0.002568195;0.038461537;Mixed Forest;237.3230849;22.53846154;161.9846168;6420.499435;0.156606962;0.047460385;Forests;
369;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.969230776;0.762637179;868.6100511;2.623447528;0.00075011;0.001406054;0.123271886;Mixed Forest;123.7333355;34;0;6657.289506;3.92344422;0.057055925;Forests;
286;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99794872;0.764573529;664.4591018;2.473027606;0.001655394;0.000604995;0.775434242;Mixed Forest;206.7538476;93.15384615;83.70769149;7210.571316;0;0.319858615;Forests;
71;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.987692319;0.765176923;572.6966318;3.923151461;0.000794004;0.000789999;0.687344918;Mixed Forest;110.3076941;28.61538462;54.52307745;6705.564677;0.001794527;0.331040769;Grassland;
137;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.984102566;0.767288889;644.2152804;2.743597509;0.001466265;-1.13992E-05;0.127791559;Mixed Forest;85.47272838;22.46153846;86.78182012;6550.044495;0.145992225;0.155933762;Forests;
214;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99757576;0.7679;589.9973366;3.587577115;0.000585834;0.000398995;0.763929616;Mixed Forest;86.47142928;24.72727273;98.95714678;6698.268984;0.250418039;0.349807975;Grassland;
152;1;1;Bern;Schoreholz;Neuenegg;"SLA  Ms L2-1, Brief von G. von Bonstetten and A. Jahn, 12. Mai 1860; Bonstetten 1860, 27; Bonstetten et al. 1876, 28; Tschumi 1953, 305; Drack 1958, 25; Kilian-Dirlmeier 1975, S. 34; Schmid-Sikimi? 1996";0;3;0;0;0;0;1;1;1;1;0;0;1;1;1;4;3;0;1;0.945897444;0.769358333;640.5420016;3.959183506;-0.000202923;-6.65698E-05;0.132133991;Mixed Forest;28.51666705;14.46153846;53.4416674;6752.376968;0.018221348;0.098415;Forests;
374;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.988717955;0.76995641;674.519165;4.125656531;0.00013659;0.000834552;0.016129032;Mixed Forest;189.6500053;15.53846154;62.83333524;6474.148968;0.294654874;0.021984959;Forests;
65;1;1;Bern;Allmed;Ersigen;"Keiser 1876; Tschumi 1953, 222; Drack 1960, 16-17; Hundt 1972; Schmid-Sikimi? 1996";0;2;0;0;0;0;1;1;0;0;0;1;1;0;0;2;2;0;2;0.99904762;0.771075;614.8018755;1.334476802;0.001244727;3.58172E-05;0.835253452;Mixed Forest;214.2941194;99.35714286;101.2352959;7021.863571;0;0.142912856;Forests;
313;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.99538462;0.771541026;605.2029841;2.376517078;-0.000101478;-0.000108496;-0.001240695;Mixed Forest;106.8153863;13.92307692;12.46153883;6559.97294;0.015477792;0.24468;Forests;
185;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.999166667;0.77477619;527.4521751;1.105760865;5.23675E-06;-2.63942E-07;0.17741935;Mixed Forest;84.17333527;16.9375;104.3600016;6613.460619;0.378555409;0.062710583;Forests;
182;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99794872;0.777057143;639.3374634;10.66358126;0.002269046;0.002202667;0.230769224;Mixed Forest;121.0307723;33.38461538;110.461539;6936.097074;0.552143235;0.191268368;Shrubland;
116;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99428572;0.777781667;563.0635594;7.492196924;0.004296479;0.001853458;0.41820276;Mixed Forest;248.9142908;107.8571429;147.8142896;6801.597532;0;0.26155779;Grassland;
28;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.987878789;0.777928788;491.5961886;5.330959905;0.001403238;-0.000145936;0.587976542;Mixed Forest;227.3833364;20.72727273;151.8166682;6697.381836;0.101390758;0.230455385;Forests;
118;1;1;Bern;Städtiberg;Dotzigen;"BHM AV 1, 78; Seeländer Bote, 28. Februar 1852; Seeländer Bote, 11. März 1852; Bonstetten et al. 1876, 14; Schmid 1910, 157; Tschumi 1953, 220; Drack 1959, 6;";1;4;0;0;0;0;1;1;0;0;0;1;1;0;0;2;3;1;2;0.962828286;0.778996154;528.5314331;7.393513867;0.002671388;-4.35223E-05;0.889540568;Mixed Forest;212.0875044;37.33333333;164.4750004;6988.57203;0;0.099154452;Forests;HAC
332;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.985555559;0.77924881;674.0828807;3.68177853;-2.30172E-05;-0.000344804;0.268817201;Mixed Forest;60.36923159;18.75;28.83076932;6314.249622;0.346102084;0.205394667;Shrubland;
314;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.989230775;0.779941026;593.8384634;1.656416668;0.000246559;2.29996E-05;0.003722084;Mixed Forest;65.11428724;15.23076923;11.14285728;6359.268572;2.540376825;0.3511575;Forests;
385;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.9974359;0.780326389;702.2591975;2.325920857;-0.000144359;-0.000195497;0;Mixed Forest;180.6833382;10.61538462;90.4166673;6598.932414;0.075574046;0.037237447;Forests;
103;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.863333344;0.78099359;545.4131724;8.234468341;0.001732502;0.001490885;-0.232526876;Alluvial Forest;76.43333435;28.08333333;34.28333457;6791.122587;0;0.237962679;Forests;
356;1;1;Waadt;Petit Bois des Trois Villes;Baulmes;"Schmid-Sikimi? 1996; Dunning 2005, 170-171";0;1;0;0;0;0;1;1;0;0;1;1;0;1;0;2;3;0;1;0.601666667;0.781397436;626.9420929;5.346676557;0.001050752;0.000756247;0.739002943;Mixed Forest;76.28333473;8.916666667;40.133334;6800.043825;0.025019843;0.020839101;Grassland;
144;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;1;0.781583333;652.8498488;2.173095969;0.000157553;0.000772816;0.947890804;Mixed Forest;252.2000063;90;86.40000094;6890.197875;0;0.23328;Forests;
231;1;1;Neuchâtel;Forêt de Peseux;Peseux;"Drack 1964, 34-35; Dunning 2005, 223";1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;0;2;1;0.78279697;782.1490906;3.074123931;0.000749651;0.00017018;0.714076248;Mixed Forest;223.5666695;43.9;200.766669;6423.202088;0.545119528;0.105778614;Forests;HAC
154;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.72153847;0.787648485;649.68496;9.355864103;-0.000803277;-0.002014288;-0.088089327;Mixed Forest;31.30000059;7.769230769;0;6916.939697;0.328777996;0.206144706;Forests;
47;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.923589743;0.788073077;564.7300133;1.564789909;0.001170932;0.000280791;0.647642677;Mixed Forest;189.953848;67.30769231;170.8769273;6474.601051;2.258486603;0.070835357;Forests;
229;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.954358977;0.788762879;780.8880052;6.875991161;0.001542592;0.001170568;0.810173704;Mixed Forest;179.984618;56.15384615;111.1384622;6489.475071;0.369031595;0.037801994;Forests;
126;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.998333335;0.7913;635.6177139;1.178289412;-0.000399896;-2.64539E-05;0.704637099;Mixed Forest;52.94666748;14.1875;91.22666931;6554.656451;0.89280342;0.26244;Forests;
329;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.996190477;0.791330769;685.1501843;2.152539858;-0.000306139;0.000446986;0.409370195;Mixed Forest;148.1826119;21.28571429;43.54782668;6361.433568;0.650160761;0.233934701;Forests;
93;1;1;Bern;Jabergwald;Jaberg;"Materilien Heierli, Archiv SGU, sub. Jaberg; SLA Ms Ag. 16, 82; SLA Ms L2 2, 57; Bonstetten 1855; Bonstetten et al. 1876; Drack 1959, 14-15; Tschumi 1953, S. 249; Schmid-Sikimi? 1996; Weidmann 1986";1;1;0;1;0;0;1;1;1;1;0;0;1;1;1;5;3;0;1;0.992222225;0.79182;581.0019073;8.432515144;0.000990914;0.000748052;0.069892471;Mixed Forest;211.9230793;20.75;43.53846213;6942.070962;0.011526383;0.122978564;Forests;EBA
76;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99435898;0.792425641;546.3590088;3.792074515;0.000336074;0.000653079;0.573200998;Mixed Forest;209.9636369;56.30769231;136.9090916;6854.199371;0.105255892;0.258449192;Forests;
285;1;0;;;;;;2;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.869230779;0.798820513;538.5856042;7.227036329;0.002191099;6.01292E-05;0.031017369;Mixed Forest;249.7090981;21.76923077;0;6221.15183;0;0.163968923;Forests;
181;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;1;0.882051289;0.798857692;550.2110361;1.953287742;-0.000416349;3.77036E-06;0.050868485;Mixed Forest;96.94545607;13.61538462;0;6647.637263;0.002120804;0.220155989;Forests;
212;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;1;0.803012745;590.9386342;2.875488758;0.000417517;0.000329098;0.529569889;Mixed Forest;159.8461574;50.58333333;106.9692324;6769.689149;0.370638782;0.326776866;Grassland;
21;1;0;;;;;;1;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;2;0.99904762;0.810144048;485.1654576;3.366362299;9.07851E-06;0.000440083;0.738479261;Mixed Forest;173.7846187;18.78571429;114.8000019;6781.675826;0;0.1215;Forests;
